"rec","rep","D","D_ends","D_theory","R","R_theory","H","site"
"rr201611_023_NorthReef03_dem_low",14,1.99098727410788,2.02409046155428,2.02409046155428,1.55745719145023,1.05896326456006,0.906567811965942,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",15,2.25227935254007,2.26417405332059,2.26417405332059,1.21100408361044,1.04130338665339,0.328753232955933,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",16,2.27910007028382,2.28148035375687,2.28148035375687,1.17019695460327,1.04278906664074,0.315248489379883,"Mermaid Cove"
"rr201611_033_ConerBeach_dem_low",1,2.2000451093771,2.18150702839601,2.18150702839601,1.79403169260778,1.22050842981725,1.05508756637573,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",2,2.15460941138875,2.17233348968512,2.17233348968512,1.74805453794197,1.16995060382223,0.945243120193481,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",3,2.23202954733076,2.21314874372366,2.21314874372366,1.33513854952766,1.08948786647336,0.58428692817688,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",4,2.30838126180201,2.29222637958259,2.29222637958259,1.35242581257178,1.09291074190289,0.453011035919189,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",5,2.26285003692221,2.25459635467235,2.25459635467235,1.51988085098913,1.15914655101519,0.686086654663086,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",6,2.17279272008413,2.15450979423228,2.15450979423228,1.97761678644429,1.3065270767519,1.39218926429749,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",7,2.14029554184346,2.101710250059,2.101710250059,2.20452801977054,1.27273919987848,1.56532454490662,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",8,2.18022956806881,2.14496887539891,2.14496887539891,1.56696993717988,1.15230198321632,0.979827165603638,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",9,2.11077470800901,2.07053753389368,2.07053753389368,1.57654581466777,1.15989462248956,1.30169320106506,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",10,2.20586162673273,2.20928517587927,2.20928517587927,3.08410928789113,1.63136193041986,1.76509833335876,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",11,2.23797627892671,2.22672290189424,2.22672290189424,2.5836735643638,1.56307761215483,1.54866695404053,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",12,2.17526089921009,2.1634924435609,2.1634924435609,1.67345281561741,1.1793973645849,1.00355362892151,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",13,2.21700388967438,2.22187079233849,2.22187079233849,2.36733209990798,1.3874233626476,1.260822057724,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",14,2.26358025810322,2.25425178332813,2.25425178332813,2.91405633659664,1.64594364273772,1.53195333480835,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",15,2.22826921499065,2.22130910583299,2.22130910583299,2.61793596105145,1.52908078996157,1.51944136619568,"Corner Beach"
"rr201611_033_ConerBeach_dem_low",16,2.15745969350446,2.17268136110431,2.17268136110431,1.98705572837561,1.28831940877247,1.26278352737427,"Corner Beach"
"rr201611_037_southeast_dem_low",1,2.2193068122093,2.20102739841965,2.20102739841965,1.53286026951247,1.14369463148415,0.782114505767822,"Southeast"
"rr201611_037_southeast_dem_low",2,2.27146809482467,2.25371322455973,2.25371322455973,1.6561659119565,1.18356642543411,0.743273019790649,"Southeast"
"rr201611_037_southeast_dem_low",3,2.35857703529169,2.3603748737427,2.3603748737427,1.346726804553,1.09996410235561,0.371667623519897,"Southeast"
"rr201611_037_southeast_dem_low",4,2.29242576446998,2.28931124639728,2.28931124639728,1.42091420922996,1.08941173704278,0.448536157608032,"Southeast"
"rr201611_037_southeast_dem_low",5,2.31371576965357,2.3062795778682,2.3062795778682,1.45631712774099,1.13268037259594,0.520492553710938,"Southeast"
"rr201611_037_southeast_dem_low",6,2.31629026689035,2.29921017465309,2.29921017465309,1.49894230475531,1.16378515296207,0.596943378448486,"Southeast"
"rr201611_037_southeast_dem_low",7,2.36333557570241,2.3676419388231,2.3676419388231,1.43040177758718,1.13646897589675,0.4271240234375,"Southeast"
"rr201611_037_southeast_dem_low",8,2.25932274686126,2.26003518003487,2.26003518003487,1.26982410266137,1.05289593727166,0.378484129905701,"Southeast"
"rr201611_037_southeast_dem_low",9,2.28927451149513,2.28543944928054,2.28543944928054,1.4733111823589,1.14409062720405,0.584595203399658,"Southeast"
"rr201611_037_southeast_dem_low",10,2.34160498423997,2.31993226139075,2.31993226139075,1.52494639424748,1.16925388354042,0.56548810005188,"Southeast"
"rr201611_037_southeast_dem_low",11,2.25603949359613,2.25999864405473,2.25999864405473,1.40869039685297,1.13172486451875,0.608705878257751,"Southeast"
"rr201611_037_southeast_dem_low",12,2.31728948235286,2.31605562964341,2.31605562964341,1.4063419785804,1.10269048798985,0.439528107643127,"Southeast"
"rr201611_037_southeast_dem_low",13,2.32332992050379,2.32161078879305,2.32161078879305,1.84067416646034,1.20639357828382,0.626126527786255,"Southeast"
"rr201611_037_southeast_dem_low",14,2.33945242669515,2.31533014560283,2.31533014560283,1.68670987907792,1.22438862014979,0.669933319091797,"Southeast"
"rr201611_037_southeast_dem_low",15,2.26020139560345,2.25646025238762,2.25646025238762,1.66790208835368,1.20475040131318,0.781314611434937,"Southeast"
"rr201611_037_southeast_dem_low",16,2.22285761139939,2.21024027657821,2.21024027657821,1.78322714703854,1.21156526249321,0.933628082275391,"Southeast"
"rr201611_039_EasterPoint_dem_low",1,2.29061274270477,2.28699446093119,2.28699446093119,1.34174027886027,1.1020135201673,0.484419822692871,"Easter Point"
"rr201611_039_EasterPoint_dem_low",2,2.32697125007535,2.32588232174178,2.32588232174178,1.33654650222846,1.10156870619257,0.422371864318848,"Easter Point"
"rr201611_039_EasterPoint_dem_low",3,2.3294100520615,2.3215286896433,2.3215286896433,1.39722877143788,1.12775499208836,0.483889102935791,"Easter Point"
"rr201611_039_EasterPoint_dem_low",4,2.26813737415079,2.2774257058278,2.2774257058278,1.23674925221189,1.07293905147428,0.420485496520996,"Easter Point"
"rr201611_039_EasterPoint_dem_low",5,2.30306198143984,2.27643860501528,2.27643860501528,1.23494071784568,1.0781108462512,0.437173128128052,"Easter Point"
"rr201611_039_EasterPoint_dem_low",6,2.25258421005538,2.25378650229255,2.25378650229255,1.39067104101395,1.11602924882242,0.581571102142334,"Easter Point"
"rr201611_039_EasterPoint_dem_low",7,2.21321560460518,2.20103664882509,2.20103664882509,1.38788940741097,1.09841592781539,0.640373229980469,"Easter Point"
"rr201611_039_EasterPoint_dem_low",8,2.29125680980683,2.27903708530811,2.27903708530811,1.43293480262816,1.12533152452377,0.555003643035889,"Easter Point"
